titulo,texto,link
Fiscalía Anticorrupción tiene 147 carpetas de investigación ...,"hace 4 días
[Coahuila]
Fiscalía Anticorrupción tiene 147 carpetas de investigación
Por
Firmarán cartas-compromiso contra la corrupción
Saltillo, Coah.- La Fiscalía Anticorrupción ha aplicado medidas cautelares por más de 600 mil pesos por concepto de reparación del daño demandado, informó su titular Homero Flores Mier.
Añadió que tienen abiertas 147 carpetas de investigación, 20 de ellas en la Región Laguna, luego de que en las últimas semanas se sumaron más expedientes. En los próximos dos meses habrá determinaciones sobre las mismas.
“No podemos resolver los asuntos que se reciben de un día para otro”, aclaró, porque se tienen que hacer investigaciones sobre las denuncias y se requiere mayor apoyo de las autoridades municipales y federales para dar respuesta con tiempo.
Señaló que tan solo en Saltillo hay 54 carpetas que corresponden a administraciones anteriores. La mayor parte son por supuestos actos de corrupción y en años pasados se referían principalmente a deficiente aplicación de los reglamentos de tránsito y vialidad, y por abuso de autoridad.
Asimismo, solicitó al próximo Gobierno Federal que diversas instancias, como la Secretaría de Hacienda y Crédito Público y la Comisión Nacional Bancaria y de Valores faciliten la información financiera que requieran de ellas, porque, por el momento, tardan entre 8 y 9 meses en responder y se afecta el desarrollo de las investigaciones, y necesitan fluir con mayor celeridad.
“Necesitamos cuentas bancarias, transacciones, movimientos y tardan meses. Debemos detener las investigaciones porque no tenemos esa información”.
De igual manera, los próximos alcaldes y alcaldesas deberán facilitar en tiempo y forma la información que les sea solicitada para el desahogo de las averiguaciones en marcha.
“Tenemos que fomentar una cultura de prevención de la corrupción y facilitar plataformas de denuncia para que los ciudadanos tengan más confianza en realizar este tipo de llamados”, refirió, al indicar que los próximos funcionarios municipales firmarán una carta-compromiso en contra de la corrupción.
[Coahuila]
[Coahuila]
[Coahuila]
[Coahuila]",http://www.zocalo.com.mx/new_site/articulo/fiscalia-anticorrupcion-tiene-147-carpetas-de-investigacion
Caso Odebrecht: Lozoya negó corrupción; ASF encontró que ...,"Aristegui Noticias
Multimedia
agosto 22, 2018 7:52 am
agosto 21, 2018 8:38 pm
Caso Odebrecht: Lozoya negó corrupción; ASF encontró que Pemex pagó de más (Lo mejor de #AristeguiEnVivo)
Redacción AN
noviembre 2, 2017 3:59 pm
Pemex pagó 61% más de lo acordado a Odebrecht en refinería de Tula. (Edición: Sherlyn Acevedo/Lee la nota en AN)",https://aristeguinoticias.com/0211/mexico/caso-odebrecht-lozoya-nego-corrupcion-asf-encontro-que-pemex-pago-de-mas-lo-mejor-aristeguienvivo/
#MesaPolítica: La corrupción de Odebrecht y el enredo por el ...,"Aristegui Noticias
Multimedia
agosto 22, 2018 7:52 am
agosto 21, 2018 8:38 pm
#MesaPolítica: La corrupción de Odebrecht y el enredo por el Nuevo Aeropuerto (Video)
Redacción AN
agosto 20, 2018 12:55 pm
Lorenzo Meyer y Sergio Aguayo comentan la nueva investigación de Quinto Elemento Lab y la polémica por la consulta que anunció López Obrador sobre el Nuevo Aeropuerto Internacional de México.",https://aristeguinoticias.com/2008/multimedia/mesapolitica-la-corrupcion-de-odebrecht-y-el-enredo-por-el-nuevo-aeropuerto-video/
Acusan ante PGR corrupción en ejido [Denuncia] - 20/08/2018 ...,"hace 2 días
[Denuncia]
Acusan ante PGR corrupción en ejido
Por
Involucran a notario público en irregularidad que favorece a empresa Beta Santa Mónica
Cuatro Ciénegas, Coah.- Ejidatarios de Tanque Nuevo, representados por su comisariado Enrique González Castruita y Alejandro Olguín, entregaron la documentación ante la PGR para iniciar una carpeta de investigación y poder recuperar las más de 6 mil hectáreas que aún mantiene en disputa con la empresa Beta Santa Mónica, además de recuperar las concesiones de pozos de agua ubicados en este mismo terreno.
Los representantes de la comisión que acudió hasta la PGR aseguraron que con estos documentos obtenidos de las oficinas de Conagua, manifiestan irregularidades con las que se pretende llegar a un punto en el que se rinda sobre esas adscripciones.
Es decir, -agregaron-que la legalidad de la empresa Beta Santa Mónica sobre los terrenos del ejido, son apócrifas y solapadas por el notario torreonense, Armando Martínez Herrera, quien fue quien inició con la ilegalidad, al certificar como apoderados de las tierras a los representantes de la empresa.
“Tenemos los nombres de Irma González, Juan Antonio Muñoz Vázquez y Gustavo Díaz de León, quienes además tienen en su poder licencias de agua entre las que se destacan una por 200 mil metros cúbicos, 2 de 300 mil metros cúbicos, una de 500 mil maestros cúbicos, una más de 708 mil metros cúbicos y otra de 500 mil metros cúbicos, entre estas tres personas, que no sabemos porque el notario de Torreón licitó dicha acción si las tierras son ejidales”, explicó Alejandro Olguín.
[Denuncia]
[Denuncia]
[Denuncia]
[Denuncia]",http://www.zocalo.com.mx/new_site/articulo/acusan-ante-pgr-corrupcion-en-ejido
Descartan AHMSA y Lozoya corrupción en pagos de Pemex ...,"hace 23 horas
[Nacional]
Descartan AHMSA y Lozoya corrupción en pagos de Pemex
Por
El exdirector de Pemex y Altos Hornos reiteraron que el reportaje de Quinto Elemento Lab carece de fundamento
Ciudad de México.- Altos Hornos de México (AHMSA) negó haber realizado depósitos de 4 millones de dólares a la compañía Grangemouth Trading Company LP –supuesta filial de Odebrecht– para que esta los enviara como soborno al exdirector de la paraestatal, Emilio Lozoya Austin, quien también negó recibir el dinero tras la venta de Agro Nitrogenados a Pemex por 275 millones de dólares.
La empresa acerera precisó que la investigación difundida por Quinto Elemento Lab, con testimonios filtrados de los juicios a Odebrecht en Brasil, carece de fundamento, ya que todas las transacciones hechas por ellos para Grangemouth están documentadas en un proyecto de expansión de la siderúrgica en 2013, el cual fue cancelado al año siguiente y por lo cual se le pagaron 3.7
millones de dólares.
Vea también:
Según los testimonios de tres de los más prominentes exejecutivos de Odebrecht, los depósitos a esa empresa se hicieron a la misma cuenta de donde salieron los 5 millones de dólares transferidos a Zecapan S.A., la “offshore” donde se recibieron los supuestos sobornos dirigidos a Lozoya.
Por su parte, el exfuncionario rechazó recibir el dinero a través de su abogado, Javier Coello Trejo. y sostuvo que el tema de los sobornos es únicamente mediático.
La operación ""se encuentra plenamente documentada""
Altos Hornos de México (AHMSA) envió a  esta comunicación con precisiones sobre la operación entre la compañía y la empresa Grangemouth Trading Company LP.
De acuerdo con un reportaje de Ignacio Rodríguez Reyna de Quinto Elemento Lab, publicado esta mañana en El Economista, Altos Hornos de México realizó distintos traspasos a Grangemouth por casi 4 millones de dólares semanas después de que la compañía vendió a Pemex, dirigida entonces por Emilio Lozoya Austin, el total de los activos de Agro Nitrogenados, una planta de fertilizantes que se encuentra parada desde hace 14 años y cuya maquinaria, equipo e instalaciones tienen 30 años de antigüedad.
Los depósitos a Grangemouth Trading se hicieron a la misma cuenta de donde salieron los 5 millones de dólares transferidos a Zecapan SA, la offshore en donde se depositaron los sobornos dirigidos a Emilio Lozoya Austin, exdirector general de Petróleos Mexicanos (Pemex), según declararon bajo juramento ante la justicia brasileña tres de los más prominentes ex ejecutivos de Odebrecht involucrados en la mayor trama de corrupción en la historia del continente.
A continuación publicamos íntegra la comunicación de AHMSA sobre su relación con Grangemouth:
Monclova, Coah., 20 de agosto.
Precisiones sobre la operación AHMSA-Grangemouth
En relación con información publicada el día de hoy acerca de operaciones efectuadas por Altos Hornos de México (AHMSA) con la empresa Grangemouth, precisamos:
Con base en un contrato firmado en enero de 2013, Grangemouth participó como gestor internacional en un proyecto de expansión de las siderúrgicas en Monclova, a fin de producir aceros de alta especificación para la industria automotriz.
En ese contexto, Grangemouth fue contratada para asesorar a la empresa en la búsqueda, selección, evaluación y cotización de los equipos y sistemas, determinación de proveedores en Europa y Asia, supervisión de la fabricación de la maquinaria, y establecimiento de la logística de provisionamiento.
A la vez, facilitó la adquisición emergente de partidas de carbón metalúgico para la operación de las plantas siderúrgicas.
A raiz de la caída internacional de los precios del acero, a inicios de 2014 se determinó suspender y postergar el desarrollo del proyecto, por lo que de común acuerdo con Grangemouth fue cancelado el contrato y se pagó la factura emitida por la empresa, con un total de US$3,703,540.57, acorde a los trabajos efectuados hasta ese momento.
El pago se efectuó en tres parcialidades y en la institución bancaria indicada por Grangemouth y la operación comercial, con sus procesos inherentes, se encuentra plenamente documentada.
[Nacional]
[Nacional]
[Nacional]
[Nacional]",http://www.zocalo.com.mx/new_site/articulo/descartan-ahmsa-y-lozoya-corrupcion-en-pagos-de-pemex
Aplaude denuncia de actos de corrupción [Denuncias] - 22/08/2018 ...,"hace cerca de 6 horas
[Denuncias]
Aplaude denuncia de actos de corrupción
Por
Tras la circulación de un video en donde un elemento de la Policía Municipal es captado al recibir una “mordida”...
Piedras Negras, Coah.- Tras la circulación de un video en donde un elemento de la Policía Municipal es captado al recibir una “mordida” de parte de una conductora estadounidense para librarse de una infracción de tránsito en la zona centro, el secretario del Ayuntamiento, Hermelo Castillo Martínez, aplaudió y reconoció el apoyo y la participación de la ciudadanía para denunciar este tipo de actos de corrupción.
Castillón Martínez, dijo que se ha trabajado arduamente para mantener una corporación confiable y limpia. Sin embargo, aseguró que aún existen miembros que aparentemente no han entendido aún este compromiso que existe con la ciudadanía.
“Lo hemos mostrado en muchas ocasiones, cuando hay necesidad de sancionar a algún elemento, incluso hasta poniéndolo a disposición de la autoridad ministerial o darlo de baja de la corporación, así los hechos y sin que nos tiemble la mano”, afirmó el secretario del Ayuntamiento.
Recalcó que las autoridades se mantienen muy al pendiente del comportamiento de los elementos del orden, y que aquellos que no estén dispuestos a cumplir correctamente con sus funciones en favor de la comunidad, serán retirados de su cargo.
“Lo siento por ellos (malos elementos), ellos son los que la van a padecer, en el sentido de que dejarán de tener un trabajo, y dejarán detener las percepciones que en un momento dado les corresponden (…) si les interesan más 20 dólares, que lo que perciben por quincena, ¡caray!, es su problema”, manifestó Hermelo Castillo, secretario del Ayuntamiento.",http://www.zocalo.com.mx/new_site/articulo/reconocen-participacion-de-la-ciudadania
La Jornada de Oriente - Periódico digital con las noticias de Puebla,"Ocho ColumnasOpinión FOTO: esimagen / José Castañares   Docentes del Colegio de Bachilleres del Estado de Puebla (Cobaep) denunciaron que los directivos de la institución forzaron a mil 500 trabajadores y sus familiares a afiliarse al PAN y...   Gabriel Biestro Medinilla, presidente de Morena en Puebla, afirmó que el Comité Ejecutivo Nacional (CEN) contempla designar a un delegado para sustituirlo en sus funciones, pero no es una decisión...   En vísperas de la renovación de la dirigencia nacional del Sindicato Nacional de Trabajadores del Seguro Social (SNTSS), Francisco Javier Torres Zenteno, secretario general de la sección 1 en Puebla,...     Quede como quede la gubernatura, los profes de Bachilleres no serán más de las tropas morenovallistas Docentes del Colegio de Bachilleres del Estado de Puebla (Cobaep) denunciaron que los directivos de la institución forzaron a  mil... El gran reto del movimiento lopezobradorista será mantener la cohesión y congruencia en torno al proyecto de la cuarta transformación... DESTACAMOS Decálogo del Fraude  La reducción a un solo carril del tramo del Periférico Ecológico que va de Recta a Cholula al bulevar Atlixco, con sentido a Valsequillo, desquició ayer a miles de usuarios...  Por incurrir en falsificación de documentos, usurpación de funciones públicas, fraude, ejercicio indebido de funciones públicas, abuso de autoridad o incumplimiento de un deber legal, peculado, tráfico de influencias, así...  Para sumar conocimientos valiosos, lo mismo aquellos generados desde la academia que los que se gestan entre las comunidades, un grupo de mujeres activistas, investigadoras, defensoras y artistas organizan el...  Surge en Puebla el Movimiento Democrático del Magisterio (MDM), que pretende evitar el regreso de Elba Esther Gordillo Morales al Sindicato Nacional de Trabajadores de la Educación (SNTE). El argumento de...  Edición Impresa     COLUMNAS           __Ana María Ashwell    MAS NOTICIASBajo la filosofía de “Hustle”, la defensiva ha sido pilar fundamental en las últimas temporadas de los Borregos Puebla; cada integrante de ella da el máximo en el momento que...  Tehuacán. Hasta el momento las autoridades municipales no se ponen de acuerdo sobre el trabajo que se va a realizar en el Parque Jardín Guadalupe, sitio del que fue retirada...  La Comisión de Prerrogativas y Partidos Políticos del Instituto Nacional Electoral (INE) aprobó una senaduría por la vía de representación proporcional al ex gobernador Rafael Moreno Valle Rosas, por un...  El Puebla tomó oxígeno con su triunfo de esta noche en el que venció al Atlas por 2–0 en el partido que se desarrolló en el estadio Cuauhtémoc y donde...  Distintas miradas en torno a la danza Butoh. Esa, es la oferta del proyecto dancístico de colaboración creativa Visiones que conjunta la Comunidad de danza Puebla y Ma, espacio de...  La presidente del Patronato del Sistema Estatal para el Desarrollo Integral de la Familia (DIF), Dinorah López de y el gobernador José Antonio Gali, encabezaron la inauguración de los VIII...  Con una inversión estatal y municipal cercana a los 50 millones de pesos, el gobernador José Antonio Gali Fayad y el alcalde Luis Banck Serrato inauguraron el nuevo Centro de...  La presidente municipal electa de la capital poblana, Claudia Rivera Vivanco, y su equipo de transición tuvieron la primera reunión de trabajo con el rector de la Universidad Autónoma de...  Luego de casi un año de estar cerrado a causa del temblor del 19 de septiembre, y a más tiempo de permanecer casi inactivo, vacío, con una prensa usada de...  En vísperas de la renovación de la dirigencia nacional del Sindicato Nacional de Trabajadores del Seguro Social (SNTSS), Francisco Javier Torres Zenteno, secretario general de la Sección 1 en Puebla,...  La estrategia de combate al ambulantaje, haciendo uso de la fuerza pública, ha sido fallida, por lo que no se repetirá en el próximo gobierno municipal de Puebla. Claudia Rivera...  Al asumir por un día las funciones de presidente del Tribunal Electoral del Estado de Puebla (TEEP), Gerardo Saravia Rivera defendió al organismo de las acusaciones que enfrenta de favorecer...  El Torneo de los Barrios de Box llegó a su fin, y lo hizo por la puerta grande y en un lugar inmejorable, el Jardín de Analco. Esta edición del...  La caja fuerte de la Delegación de la Procuraduría Agraria estuvo a punto de ser robada por el guardia de seguridad de la dependencia ayer, quién habría intentado involucrar al...  El piloto número 88 de Canel’s/HDI Rubén García Jr. logro este domingo su tercera victoria consecutiva dentro de Nascar Peak México logrando con esto su primer Hat–Trick en la categoría...  Para dar certeza jurídica a familias cholultecas, la presidente municipal Soledad Pérez Tenorio encabezó la quinta entrega de escrituras del programa Cuida tu patrimonio, Cholula te ayuda, el cual ha...  Tehuacán.  Al menos en un muro de los que se construyeron para el nuevo puente provisional para comunicar a Tehuacán con San Esteban Necoxcalco, existen grietas, lo cual puede resultar...  El edil de San Andrés Cholula, Leoncio Paisano Arias, negó que exista una investigación de la Procuraduría General de la República (PGR) en su contra por lavado de dinero y... Imágenes del díaTWEETSpor @JornadaOriente La pregunta del díaBLOGS         __Roberto Borja        __Colectivo del Periódico El Zenzontle        __Andoni Ledesma        __Jorge Meléndez        __Mauricio Flores        __Ricardo Antonio LandaCartones por Patricio    VIDEO: Programa “Aqui vamos”",http://www.lajornadadeoriente.com.mx/
Por cerrar caso de corrupción [Corrupción] - 22/08/2018 | Periódico ...,"hace 5 horas
[Texas]
Por cerrar caso de corrupción
Por
Con la sentencia de los 3 exconcejales de la ciudad de Crystal City implicados en hechos de corrupción...
Eagle Pass, Tx.- Con la sentencia de los 3 exconcejales de la ciudad de Crystal City implicados en hechos de corrupción, programada para el próximo 6 de septiembre, se cerrará el capítulo final de la historia en la que también figuran el exmayor y el exgerente de esa comunidad, Ricardo López y William James Jonas, dijo el actual alcalde Frank Moreno.
Durante una visita que realizó a esta ciudad, el alcalde dejó entrever que todo ello ha traído grandes problemas financieros a la ciudad “pero hemos sabido salir poco a poco, la ciudad sigue progresando pero muy despacio”.
A consecuencia de la pérdida de más de 3 millones de dólares provocada por los 5 funcionarios municipales, la ciudad ha buscado obtener fondos “de aquí y de allá”.
“No teníamos ni para pagar a los empleados”, “no se tenían fondos para reparar calles que urgentemente debían serlo; la maquinaria que dejó la anterior administración está obsoleta, es necesario comprar nueva”, resaltó.
Algo que están esperando y que representa beneficio en la cuestión de ingresos, es el festival de la Espinada a mediados de noviembre, con lo que se ayudaría la ciudad a seguir luchando para limpiar la mala imagen que dejaron esos funcionarios, dijo.
[Texas]
[Texas]
[Texas]
[Texas]",http://www.zocalo.com.mx/new_site/articulo/por-cerrar-caso-de-corrupcion/site-map
Culpable de fraude el ex jefe de campaña de Trump,"Publicidad Publicidad

Culpable de fraude el ex jefe de campaña de Trump
Publicidad Google
21 de Agosto, 2018

Este martes, Paul Manafort fue declarado culpable en ocho de los 18 cargos por fraude fiscal y estafa bancaria, informaron medios presentes en la corte.
Notimex
Publicidad Google
Asimismo, un jurado determinó culpable en cinco cargos de evasión impositiva, uno por no informar sobre una cuenta bancaria en el extranjero, y dos por estafa bancaria en la obtención de préstamos; mientras que en los otros diez cargos no se dictó veredicto. El proceso contra Manafort inició el 31 de julio con la elección del jurado en Alexandria, cerca de Washington, en donde el hombre de 69 años fue acusado de ocultar a las autoridades ingresos millonarios derivados de su trabajo como asesor político en Ucrania.También se le señaló de ingresar a los bancos para lograr créditos por 20 millones de dólares.Este es el primer proceso judicial que se ha puesto en marcha como consecuencia de las investigaciones sobre la supuesta injerencia rusa en el proceso electoral estadunidense de 2016.En este contexto, las investigaciones apuntan a aclarar si durante la campaña presidencial de 2016 hubo un pacto secreto entre el equipo de Trump y Rusia para beneficiar al candidato republicano. Cabe mencionar que otras personalidades cercanas a Trump están en la mira de la investigación, que se han declarado culpables para evitar procesos judiciales.Entre junio y agosto de 2016, Manafort dirigió la campaña de Trump y estuvo presente en el congreso del Partido Republicano en el que fue postulado el actual presidente estadounidense.Con información de Milenio



Mira aquí Telefórmula en vivo",https://www.radioformula.com.mx/notas.asp?Idn=743200&idFC=2018
SinEmbargo MX | Periodismo digital con rigor.,"POR Guadalupe Correa-Cabrera
POR Martín Moreno
POR Adela Navarro Bello
POR Alejandro Calvillo
POR General Gallardo
POR Gabriel Sosa Plata
POR Alejandro Páez Varela
POR Daniela Barragán
El Grupo Aeroportuario de la Ciudad de México (GACM) ha gastado en cuatro años, 107 millones 442 mil 209 pesos para publicitar una obra que lleva apenas 32 por ciento de avance: el Nuevo Aeropuerto…
Telegram
México
POR Redacción / Sin Embargo
Telegram
México
POR Redacción / Sin Embargo
Telegram
Mundo
POR Redacción / Sin Embargo
Telegram
Economía
POR Efrén Flores
Telegram
México
POR Redacción / Sin Embargo
Telegram
Unidad de Datos
POR Ivonne Ojeda de la Torre
Telegram
Sofá
POR Redacción / Sin Embargo
Telegram
Economía
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR EFE
Telegram
POR EFE
Telegram
ASÍ LO DIJERON / Y ASÍ LOS EVALÚAN
Cargando ...
Cargando ...
Cargando ...
Cargando ...
Cargando ...
Cargando ...
Cargando ...
Cargando ...
economía
Por Redacción / Sin Embargo
Desde abril de 2017, el grupo de origen sueco abrió una oficina en Ciudad de México con miras a explorar la posibilidad de introducir tiendas en este país.
Telegram
La perversidad de OHL es tal, que en México pagamos su corrupción y sus sobornos con intereses. Y los seguiremos…
Telegram
La perversidad de OHL es tal, que en México pagamos su corrupción y sus sobornos con intereses. Y los seguiremos…
Telegram
POR Daniela Barragán
Telegram
POR Efrén Flores
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR EFE
Telegram
POR Redacción / Sin Embargo
Telegram
POR Ivonne Ojeda de la Torre
Telegram
POR Ivonne Ojeda de la Torre
Telegram
POR Ivonne Ojeda de la Torre
Telegram
POR Linaloe R. Flores
Telegram
POR Linaloe R. Flores
POR Linaloe R. Flores
POR Redacción / Sin Embargo
POR Mónica Maristain
POR Nancy Chávez
sondeos
EL CÓDIGO DE ESTE SONDEO NO PERMITE A UNA MISMA DIRECCIÓN IP VOTAR DOS VECES. ESTE SONDEO -QUE NO ENCUESTA- ES UN EJERCICIO DE SINEMBARGO QUE REFLEJA LA OPINIÓN DE UN UNIVERSO ACOTADO. ES UNA MUESTRA DEL MOMENTO, Y NO NECESARIAMENTE TIENE VALIDEZ ESTADÍSTICA
sofá
Por AP
Madonna dio un discurso en los Premios MTV donde habló sobre la influencia de Arathea Franklin en su carrera. Intentó hacerle un homenaje a la Reina del Soul, pero fracasó y admitió que no era su intención hablar sobre la…
Telegram
Los has visto en Instagram, en YouTube o en Twitter, donde levantan pasiones. Son guapos, bailan bien e interpretan un…
Telegram
Sofá
Sofá
Serie
Serie
Serie
Serie
Película
Serie
Serie
Serie
Serie
POR EFE
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR EFE
Telegram
POR Redacción / Sin Embargo
Telegram
POR EFE
Telegram
POR EFE
Telegram
POR Redacción / Sin Embargo
Arturo Díaz Mendoza, mejor conocido en el mundo de los cuadriláteros como Villano III, figura de la lucha libre mexicana falleció este día a los 66 años de edad.
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR EFE
Telegram
POR Javier Murillo
POR Tomás Calvillo Unna
POR Fundar
POR Gustavo De la Rosa
POR Rubén Martín
POR Mónica Maristain
México
POR Redacción / Sin Embargo
Telegram
Entrevista
POR Mónica Maristain
Telegram
Economía
POR Efrén Flores
Telegram
México
POR Dulce Olvera
Telegram
Unidad de Datos
POR Linaloe R. Flores
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
POR Redacción / Sin Embargo
POR Redacción / Sin Embargo
POR AP
POR AP
POR Redacción / Sin Embargo
POR Redacción / Sin Embargo
POR AP
POR Xinhua
Telegram
POR AP
Telegram
POR Redacción / Sin Embargo
Telegram
POR Redacción / Sin Embargo
Telegram
POR Ivette Lira
Telegram
POR Ana Ortega
POR Blanka Alfaro
POR Dulce Ramírez
POR Sabina García
POR Ana Ortega",http://www.sinembargo.mx/
